ORGANIZATION NAME,CONTACT JOB DEPARTMENTS,INDUSTRIES,HEADQUARTERS LOCATION,COUNTRY,DESCRIPTION,FOUNDED DATE,FOUNDED DATE PRECISION,FOUNDERS,NUMBER OF EMPLOYEES,FUNDING STATUS,LAST FUNDING DATE,LAST FUNDING TYPE,NUMBER OF INVESTMENTS,NUMBER OF EXITS,INDUSTRY GROUPS,IPO STATUS,IPO DATE,DELISTED DATE,DELISTED DATE PRECISION,MONEY RAISED AT IPO,MONEY RAISED AT IPO CURRENCY,MONEY RAISED AT IPO CURRENCY (IN USD),VALUATION AT IPO,VALUATION AT IPO CURRENCY,VALUATION AT IPO CURRENCY (IN USD),STOCK EXCHANGE,DIVERSITY SPOTLIGHT (US HEADQUARTERS ONLY),NUMBER OF DIVERSITY INVESTMENTS,TRANSACTION NAME,ACQUIRED BY,ANNOUNCED DATE,ANNOUNCED DATE PRECISION,PRICE,PRICE CURRENCY,PRICE CURRENCY (IN USD),LAST LEADERSHIP HIRING DATE,CB RANK (ORGANIZATION),CB RANK (COMPANY),CB RANK (SCHOOL),LAST LAYOFF MENTION DATE,HEADQUARTERS REGIONS,ESTIMATED REVENUE RANGE,OPERATING STATUS,WEBSITE,TWITTER,FACEBOOK,LINKEDIN,CONTACT EMAIL,PHONENUMBER,NUMBER OF ARTICLES,HUB TAGS,FULL DESCRIPTION,ACTIVELY HIRING,INVESTMENT STAGE,NUMBER OF FOUNDERS (ALUMNI),NUMBER OF FOUNDERS,NUMBER OF FUNDING ROUNDS,TOTAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT CURRENCY,TOTAL FUNDING AMOUNT CURRENCY (IN USD),NUMBER OF ACQUISITIONS,STOCK SYMBOL,SIMILAR COMPANIES,SEMRUSH - MONTHLY VISITS,SEMRUSH - AVERAGE VISITS (6 MONTHS),SEMRUSH - VISIT DURATION,SEMRUSH - MONTHLY VISITS GROWTH,SEMRUSH - VISIT DURATION GROWTH,SEMRUSH - PAGE VIEWS / VISIT,SEMRUSH - PAGE VIEWS / VISIT GROWTH,SEMRUSH - BOUNCE RATE,SEMRUSH - BOUNCE RATE GROWTH,SEMRUSH - GLOBAL TRAFFIC RANK,SEMRUSH - MONTHLY RANK CHANGE (#),SEMRUSH - MONTHLY RANK GROWTH,ABERDEEN - IT SPEND,ABERDEEN - IT SPEND CURRENCY,ABERDEEN - IT SPEND CURRENCY (IN USD),IPQWERY - PATENTS GRANTED,IPQWERY - TRADEMARKS REGISTERED,IPQWERY - MOST POPULAR PATENT CLASS,IPQWERY - MOST POPULAR TRADEMARK CLASS,APPTOPIA - NUMBER OF APPS,APPTOPIA - DOWNLOADS LAST 30 DAYS,ORGANIZATION NAME,INDUSTRY LINKEDIN,WEBSITE,COMPANYLINKEDINURL,FACEBOOKURL,TWITTER URL,COMPANY STREET,COMPANY CITY,COMPANY STATE,COMPANY COUNTRY,COMPANY POSTAL CODE,COMPANY ADDRESS,KEYWORDS,COMPANY PHONE,SEO DESCRIPTION,TECHNOLOGIES,SIC CODES,SHORT DESCRIPTION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- 1.2.3.5.8 creates, develops and implements large-scale shared value projects on behalf of brands and is a partnership between Brazilian-based companies Mandalah, Dreamers Group (producers of Rock in Rio) and Tátil Design (design and branding agency responsible for logos of the Rio 2016 Games).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Cuidas (sold to Alice in 2021) was a Brazilian health tech startup that aimed to improve health care access and delivery in Brazil by leveraging technology to offer the best patient-doctor experience. Cuidas was also backed by venture capital funds Kaszek Ventures, Canary and Península.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workana,Operations,"E-Commerce, Employment, Internet, Outsourcing","Buenos Aires, Distrito Federal, Argentina",Argentina,"With +10 years in the market, Workana is the largest remote work platform for hiring top talent in Latin America.",1/1/2012,year,"Eliana Bracciaforte, Fernando Fornales, Mariano Iglesias, Tomas O'Farrell",51 to 100,Late Stage Venture,3/17/2023,Non-equity Assistance,,,"Commerce and Shopping, Internet Services, Professional Services",Private,,,,,,,,,,,,,,,,,,,,,"21,579","21,495",,,Latin America,$1M to $10M,Active,workana.com,twitter.com/workana,facebook.com/workana.es,linkedin.com/company/workana,support@workana.com,,24,,"With +10 years in the market, Workana is the largest remote work platform for hiring top talent in Latin America. We match great talent with exciting opportunities and we love doing it.  We believe remote work promotes equal and unprecedented growth opportunities for both companies and talent. We are proud to contribute to this new way of working by connecting freelancers to unique projects and by matching certified developers with long-term roles. More than 600,000 companies find talent on Workana to move their professional projects forward. Meanwhile, we are helping 3 million freelancers develop their professional careers independently. Talent is at the core of what we do. Learn more at www.workana.com",,,,4,6,"10,150,000",USD,"10,150,000",,,10,"3,191,594","3,268,846.17","1,001",6.61%,8.8%,3.24,2.01%,41.83%,-2.15%,"26,847",-973,-3.5%,,,,,,,,2,899,Workana,Human Resources,workana.com,linkedin.com/company/workana,facebook.com/workana.es,twitter.com/workana,,Buenos Aires,Buenos Aires,Argentina,,"Buenos Aires, Buenos Aires, Argentina","freelancers, latin america, employment, outsourcing, enterprise software, software, information technology, marketplaces, ecommerce, freelancing, trabajo, trabalho, trabajo remoto, trabajo agil, freelancer, remote work, ondemand talent, business transformation, malaysia, singapore, hong kong",5412124893747,"Workana is the largest freelance platform in Latin America. No matter what you're looking for, you'll find the best freelance programmers, copywriters, translators, and more on Workana.","Cloudflare DNS, Gmail, Google Apps, Google Cloud Hosting, CloudFlare Hosting, Facebook Conversion Tracking, Ember JS Library, Zendesk, VueJS, CloudFlare, OneTrust, Hubspot, Bootstrap Framework, DoubleClick, Cloudinary, WordPress.org, Facebook Widget, Hotjar, Google Analytics, Google translate API, Google translate widget, Linkedin Marketing Solutions, DoubleClick Conversion, Google Dynamic Remarketing, Google AdSense, reCAPTCHA, Facebook Login (Connect), React, Google Tag Manager, Mobile Friendly, Facebook Custom Audiences, Google Remarketing, Google AdWords Conversion, Nginx, Gusto, Remote, , Seismic, Android, Octane, Reviews, Triple Whale",7372,"Con +10 años en el mercado, Workana es la mayor plataforma de trabajo remoto para la contratación de los mejores talentos de América Latina."
Combinamos grandes talentos con oportunidades emocionantes y nos encanta hacerlo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creemos que el trabajo remoto promueve oportunidades de crecimiento equitativas y sin precedentes tanto para las empresas como para el talento. Estamos orgullosos de contribuir a esta nueva forma de trabajar al conectar a los talentos independientes con proyectos únicos y al vincular a los desarrolladores certificados con roles a largo plazo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Más de 600.000 empresas encuentran talento en Workana para sacar adelante sus proyectos profesionales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mientras tanto, estamos ayudando a más de 3 millones de freelancers a desarrollar sus carreras profesionales de forma independiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El talento está en el centro de lo que hacemos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Más información en www.workana.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ágora Investimentos,,"Financial Services, Professional Services, Service Industry","São Paulo, Sao Paulo, Brazil",Brazil,Ágora Investimentos is an investment service company.,1/1/1993,year,,251 to 500,,,,,,"Financial Services, Other",Private,,,,,,,,,,,,,,,,,,,,,"611,703","594,441",,,Latin America,$10M to $50M,Active,agorainvestimentos.com.br,twitter.com/agoracorretora,facebook.com/agorainvestimentos,linkedin.com/company/agorainvestimentos,,,,,,,,,,,,,,,,4,"353,996","396,199.5",431,-3.11%,-8.69%,02.04,29.08%,52.96%,-16.19%,"143,689","3,507",2.5%,,,,,,,,,,Ágora Investimentos,Financial Services,agorainvestimentos.com.br,linkedin.com/company/agorainvestimentos,facebook.com/agorainvestimentos/,twitter.com/agoracorretora,,São Paulo,São Paulo,Brazil,,"São Paulo, State of São Paulo, Brazil","saas, sales & marketing, analytics, brand marketing, information technology, sales and marketing, enterprise software, software, bolsa de valores, bm, f, fundos de investimento, tesouro direto, investimentos, b3, plataforma de investimentos, casa de investimentos, renda fixa, painel do trader, mercado financeiro, home broker, acoes, renda variavel, coe, assessoria, especialistas de investimento, assessoria de investimentos, planejamento financeiro, financas, analises e recomendacoes, recomendacoes de investimentos, derivativos, mesa de operacoes",5512125376135,"Você chegou na sua casa de investimentos. Para sabermos como te ajudar, entre aqui e conte um pouco sobre você.","Microsoft Office 365, Google Font API, Google Play, Facebook Login (Connect), Google Tag Manager, Ruxit, Bootstrap Framework, Twitter Advertising, Facebook Widget, Mobile Friendly, Google Analytics, Linkedin Marketing Solutions, Facebook Custom Audiences",,"Não existe o melhor investimento, existe o melhor para você. Te ajudamos a encontrar o que faz sentido para o seu momento."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa é a proposta da sua casa de investimentos, oferecer solidez e segurança para você tomar as melhores decisões, com a certeza que seu dinheiro está sendo bem cuidado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bem-vindo a sua casa de investimentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo ATML,,"Freight Service, Logistics, Transportation","Rio De Janeiro, Rio de Janeiro, Brazil",Brazil,"Grupo ATML specializes in logistic solutions, freight, distribution, fleet outsourcing and transportation outsourcing solution for business.",,,,11 to 50,,,,,,Transportation,Private,,,,,,,,,,,,,,,,,,,,,"2,778,781","2,723,230",,,Latin America,,Active,grupoatml.com.br,,facebook.com/grupoatml,linkedin.com/company/grupo-atml,contato@grupoatml.com.br,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Grupo ATML,,grupoatml.com.br,linkedin.com/company/yellowlog,,,,Rio de Janeiro,Rio de Janeiro,Brazil,,"Rio de Janeiro, State of Rio de Janeiro, Brazil","logistica, atendimento humanizado, localizacao de carga, integracao com ecommerce, entrega a partir de d0",5512125808488,,"Webmail, Centro",,"Temos um objetivo claro: queremos chegar até você. Queremos estar presentes, queremos conectar. Simples assim!"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somos plurais, respeitamos as diferenças e acreditamos que uma empresa só é do lado de fora, o que ela é no lado de dentro. Somos amigos, somos jovens e gostamos de estar perto. Unimos tecnologia com pessoas, inovação com abraços e nosso comprometimento é em toda decisão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revolucionamos com a Reversa Mágica, fomos a primeira transportadora a entregar de bike, carro e moto, lançamos as entregas para same day delivery e o nosso atendimento ao consumidor já nasceu humanizado e descomplicado. Temos uma missão e, através dela, uma certeza: entregar vai muito além de fazer o produto chegar até você. Nós queremos entregar verdade, carinho e cuidado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embarque com a gente nessa história.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saia do óbvio. Seja Yellow!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,,"Cloud Computing, Information Technology, Outsourcing, Software, Technical Support","Belém, Para, Brazil",Brazil,"Controller is an IT company that provides cloud, antivirus, printing outsourcing and IT technical support solutions.",1/1/2010,year,,1 to 10,,,,,,"Information Technology, Internet Services, Other, Professional Services, Software",Private,,,,,,,,,,,,,,,,,,,,,"2,071,085","2,030,691",,,Latin America,,Active,controllersi.com.br,,,,contato@controllersi.com.br,,2,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,Controller,,controllersi.com.br,,,,1243 Travessa Almirante Wandenkolk,Belém,Pará,Brazil,66055-030,"1243 Travessa Almirante Wandenkolk, Belém, Pará, Brazil, 66055-030",,5512126972147,A Controller desenvolve soluções para ambientes tecnologicos empresariais. Com o objetivo de tornar a TI mais amigável aos seus clientes.,"Outlook, Microsoft Office 365, DigitalOcean, Bootstrap Framework, Apache, Google Maps",,"Controller is an IT company that provides cloud, antivirus, printing outsourcing and IT technical support solutions."
Prisma Capital,"Finance, Operations",Financial Services,"Itaim, Minas Gerais, Brazil",Brazil,Prisma Capital is a private equity firm founded as a partnership by seasoned investors focused on private equity and special situations.,1/1/2017,year,Marcelo Hallack,1 to 10,,,,2,1,Financial Services,Private,,,,,,,,,,,,,,,,,,,,,"264,277","257,802",,,Latin America,,Active,prismacapital.com,,,,dpo@prismacapital.com,551148583744,1,,Prisma Capital is a private equity firm founded as a partnership by seasoned investors focused on private equity and special situations. The firm's partners invest a substantial portion of their personal wealth in the funds and assets managed by the partnership.,,,,1,,,,,,,8,970,,138,-46.85%,"0,0128",2.24,-43.97%,64.54%,,"5,950,750","764,401",14.74%,,,,0,0,,Insurance; financial affairs,,,Prisma Capital,Investment Management,prismacapital.com,linkedin.com/company/prisma-capital-brasil,,,2601 Avenida Brigadeiro Faria Lima,São Paulo,São Paulo,Brazil,01452-000,"2601 Avenida Brigadeiro Faria Lima, São Paulo, State of São Paulo, Brazil, 01452-000","private equity, special situations investing, litigation finance, high yield credit, structured credit, specialty financing, legal claims",5512127508300,,"Outlook, Microsoft Office 365, Amazon AWS, Mobile Friendly, Google Font API, Apache, WordPress.org, , Render, Remote, , Circle, Vimeo, Basis",,"A Prisma Capital é uma gestora independente de investimentos alternativos fundada sob o modelo de partnership em 2017. Oferecemos soluções criativas para situações complexas que exigem capital de longo-prazo, com flexibilidade para investir em diferentes setores e classes de ativos."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prisma Capital is an independent, alternative investment company in Brazil founded as a partnership in 2017. We provide creative solutions to complex situations that require long-term capital. We are opportunity driven, multi-strategy fundamental investors with flexibility to invest across sectors, asset classes and position in the capital stack in our pursuit of optimizing risk-adjusted returns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Vartanian,Management,"E-Commerce, Jewelry, Retail","São Paulo, Sao Paulo, Brazil",Brazil,"Jack Vartanian is a jewellery shop that sells rings, chains, and necklaces.",1/1/1999,year,,51 to 100,,,,,,"Commerce and Shopping, Consumer Goods",Private,,,,,,,,,,,,,,,,,,,,,"743,377","723,036",,,Latin America,$10M to $50M,Active,jackvartanian.com,twitter.com/jackvartanian?lang=en/,facebook.com/jackvartanian/,linkedin.com/company/jack-vartanian/,info@jackvartanian.com,,,,"Jack Vartanian offers jewellery products for letters, pendants, piercings, bracelets, rings, and earrings. They also include necklaces, chains, and engagement rings. The company's contact modes are mail, phone, and physical address.",,,,,,,,,,,9,739,"4,215",203,-27.9%,-98.15%,6.45,544.79%,0,0,"6,353,381","230,608",3.77%,,,,0,1,,Scientific and electric apparatus and instruments,,,Jack Vartanian,Luxury Goods & Jewelry,jackvartanian.com,linkedin.com/company/jack-vartanian,facebook.com/jackvartanian,,2232 Avenida Brigadeiro Faria Lima,São Paulo,São Paulo,Brazil,01451-000,"2232 Avenida Brigadeiro Faria Lima, São Paulo, State of São Paulo, Brazil, 01451-000","handmade fine jewelry, fashion jewelry, international brand, gemstone experts",5512129882881,Desde 1999 a Jack Vartanian cria joias com estilo único que une tradição com design cool e sofisticado. Entrega para todo o Brasil e parcelamento em até 10x!,"Outlook, GoDaddy Hosting, Shopify Product Reviews, FedEx, Active Campaign, DoubleClick Conversion, Mobile Friendly, Google Dynamic Remarketing, Shopify, Google AdWords Conversion, Facebook Custom Audiences, Klarna, Google Font API, Google AdSense, Facebook Login (Connect), reCAPTCHA, Google Tag Manager, Vtex, DoubleClick, Facebook Widget, Google Analytics, Bootstrap Framework, Centro",,"For 18 years, Jack Vartanian has created collections infused with a unique blend of tradition, sophistication, and cutting edge design in a way that enhances the natural beauty of each stone."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The workmanship resembles French haute couture, in which the construction is entirely handmade by meticulous professionals using unique techniques of stone setting all done in his workshop in Sao Paulo, Brazil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each piece from Jack Vartanian's collections is an object of desire that evokes new ways of creating truly innovative jewels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the United States, the flagship store is located in New York on Madison Avenue. In Brazil, the Flagships are located in São Paulo, Curitiba and Rio de Janeiro. All the six stores were designed to provide a unique ambiance and shopping experience. The Brand is also represented in Hong Kong by Plukka, a fine Jewelry store located at Landmark Tower Mall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The designer finds the inspiration for his emblematic pieces in the opulence of lavish soirées, red carpets and beautiful women.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We welcome you to be a part of our world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FanBase,,"Analytics, Digital Entertainment, Digital Marketing, Marketing, Media and Entertainment, Software","São Paulo, Sao Paulo, Brazil",Brazil,"FanBase identifies, understands, and activates your fans’ data from a centralized platform and maximizes business for your organization.",1/1/2018,year,"Mark Pinheiro, Rafael Mangabeira, Sebastian Baudry",11 to 50,,4/27/2022,Venture - Series Unknown,,,"Data and Analytics, Media and Entertainment, Sales and Marketing, Software",Private,,,,,,,,,,,,,,,,,,,,,"278,316","271,274",,,Latin America,,Active,fanbase.com.br,,,linkedin.com/company/fanbasenetwork,contato@fanbase.com.br,,,,"FanBase identifies, understands, and activates your fans’ data from a centralized platform and maximizes business for your organization. The company helps clubs, leagues, athletes, artists, events, and their partners and sponsors to maximize their relationship with their fans. It was founded in 2018 and is located in São Paulo, São Paulo, Brazil.",,,,3,1,,USD,,,,6,,,,,,,,,,,,,,,,,,,,,,FanBase,Information Technology & Services,fanbase.com.br,linkedin.com/company/fanbasenetwork,,,403 Rua Dom Francisco de Campos Barreto,Campinas,São Paulo,Brazil,13092-160,"403 Rua Dom Francisco de Campos Barreto, Campinas, State of São Paulo, Brazil, 13092-160","social media, consumer internet, internet, information technology, fan engagement, digital marketing, business intelligence, sponsorship, data analytics, sports, fan intelligence",5512139154323,,"Route 53, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, Render",,We are a centralized Fan Management and Intelligence platform for Pro Sports and Entertainment organizations.
MagmaLabs,"Engineering, Management, Marketing, Operations, Pro Services","E-Commerce, E-Commerce Platforms, Mobile Apps, Product Design, Software Engineering, UX Design, Web Development","Colima, Colima, Mexico",Mexico,MagmaLabs is a leading Ecommerce Consultancy firm currently doing business with startups in the United States and Mexico.,1/1/2015,year,Carlos Rocha,51 to 100,Seed,1/1/2017,Pre-Seed,,,"Apps, Commerce and Shopping, Design, Internet Services, Mobile, Science and Engineering, Software",Private,,,,,,,,,,,,,,,,,,,,,"286,084","278,677",,,Latin America,$10M to $50M,Active,magmalabs.io,twitter.com/wearemagmalabs,facebook.com/magmalabsio,linkedin.com/company/magmalabs,info@magmalabs.io,,1,,"MagmaLabs is an expert Design, Ecommerce, and Software Development Consultancy with presence in US and MX. We build beautiful and effective ecommerce, fintech, Web, and mobile software solutions for startups, scaleups and corporate companies using innovative technologies, top talent, and quality assurance. • Ecommerce & FinTech Implementation - Spree/Solidus, Magento and Shopify • Product Development -Project Management, UX/UI and QA • Support & Managed Services -DevOps, Staff Augmentation and Performance Audit Our experienced bilingual team can work onsite in the US and/ or remotely, in a preferred time zone and at a reasonable cost. Have a project? We can help.",,,,1,1,,USD,,,,11,"6,875","5,774.5","1,497",40.31%,"5,246.43%",1.17,12.23%,83.19%,-13.27%,"2,204,175","-653,304",-22.86%,,,,,,,,2,,MagmaLabs,Information Technology & Services,magmalabs.io,linkedin.com/company/magmalabs,facebook.com/magmalabsio,twitter.com/weareMagmaLabs,,Colima,Colima,Mexico,28017,"Colima, Colima, Mexico, 28017","web development, fintech implementation, product development, ruby on rails, ecommerce implementation, mobile development, ux, ui design, project management, spree, solidus, magento, shopify, software development, ruby, vtex, product design sprint, staff augmentation, ecommerce platforms",5212139526901,"MagmaLabs will help you reach your project's full potential. Our technology expertise on Ruby on Rails development, Rails app and software development, and innovative ecommerce solutions will help you deliver high-impact software.","DNSimple, Mailchimp Mandrill, Gmail, Google Apps, Amazon AWS, BambooHR, Heroku, Hubspot, Ruby On Rails, Google Font API, Facebook Login (Connect), Disqus, WordPress.org, Facebook Custom Audiences, CrazyEgg, MailChimp, Mobile Friendly, Facebook Widget, Google Tag Manager, Google Analytics, Gusto",,"Expert Design, E-commerce, and Software Development Consultancy with a presence in Mexico, US and Canada."
"MagmaLabs builds effective and beautiful e-commerce, Fintech, Web and Mobile software solutions for Startups, Scaleups and Corporate Companies using Innovative technologies, top talent, and quality assurance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We specialize in:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• E-commerce & FinTech Implementation using Ruby, Ruby on Rails and other languages and frameworks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
